ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes
seasoning;0.840;8280.000;typology;SPICIES;;
cumin;0.840;8280.000;typology;SPICIES;;
orange juice;0.460;1019.000;ingredient;ORANGE JUICE;;
sausage;5.990;6177.000;ingredient;SAUSAGES;;
bell pepper;0.650;379.000;ingredient;PEPPER;;
ketchup;1.460;534.000;ingredient;KETCHUP;;
cucumber;0.270;353.000;ingredient;CUCUMBER;;
shrimp;7.040;1856.000;ingredient;PRAWNS/SHRIMPS;;
chip;0.240;555.000;ingredient;POTATO;;
nut;1.110;11264.000;typology;NUTS;;
paprika;0.840;8280.000;typology;SPICIES;;
mix;;;TOO_GENERIC;TOO_GENERIC;;"The term ""mix"" in the recipe dataset usually refers to spicies mix; however this mapping could mismatch other kind of mixes"
lime;0.340;642.000;ingredient;LIME;;
cranberry;0.640;276.000;ingredient;CRANBERRY;;
shallot;0.250;272.000;ingredient;SHALLOT;;
ham;7.950;6177.000;ingredient;PORK HAM;;
stock;2.120;2313.500;typology;FISH PROCESSED;;Self-mapped
powdered sugar;0.780;1294.500;typology;SUGAR;;
cheddar cheese;8.930;5253.000;ingredient;CHEESE;;
vanilla extract;4.300;;ingredient;VANILLA;;
seed;0.880;3087.500;typology;SEEDS;;
green onion;0.220;290.000;ingredient;ONION;;
coriander;0.840;8280.000;ingredient;CORIANDER;;
paste;1.300;855.000;ingredient;TOMATO PASTE;;"The term ""paste"" in the recipe dataset usually refers to tomato paste, however it could mismatch some other kind of (vegetable) paste that sometimes appear."
zest;2.150;748.000;typology;FRUIT;;
lime juice;0.340;642.000;ingredient;LIME;;
shortening;1.390;1324.000;ingredient;MARGARINE*;;
blueberry;0.780;845.000;ingredient;BLUEBERRY;;
noodle;3.150;4637.000;ingredient;EGG PASTA*;;
avocado;0.540;1805.000;ingredient;AVOCADO;;
cake mix;2.150;;ingredient;CAKE MIX, VANILLA;https://apps.carboncloud.com/climatehub/product-reports/075450131420/USA;CAKE MIX, VANILLA used as proxy for every cake mix
pumpkin;0.240;336.000;ingredient;PUMPKIN;;
chili;0.650;379.000;ingredient;PEPPER;;
peach;0.390;910.000;ingredient;PEACH;;
applesauce;0.810;6847.000;ingredient;APPLES;;
tuna;3.680;2313.500;ingredient;TUNA;;
syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
molasses;0.780;1294.500;typology;SUGAR;;
cracker;1.350;1447.000;ingredient;PLAIN CRACKERS**;;
breadcrumbs;0.860;667.000;ingredient;BREAD;;
coffee;6.710;19928.000;ingredient;COFFEE BEAN;;
peanut;0.830;2782.000;ingredient;PEANUT;;
